Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100412136;Dasatinib Viatris;Ludzki;600 mg;Tabletki musujące;;
100412685;Segosana;Ludzki;600 mg;Tabletki powlekane;;
100416111;Questax XR;Ludzki;600 mg;Tabletki musujące;;
100417346;Diprogenta;Ludzki;600 mg;Tabletki powlekane;;
100419546;Beto 25 ZK;Ludzki;600 mg;Tabletki powlekane;;
100420029;Fingolimod Aristo;Ludzki;600 mg;Tabletki powlekane;;
100421454;Permen Med;Ludzki;600 mg;Tabletki musujące;;
100422488;Micafungin Accord;Ludzki;600 mg;Tabletki musujące;;
100425386;Gutron;Ludzki;600 mg;Tabletki musujące;;
100425699;Agapurin SR 400;Ludzki;600 mg;Tabletki powlekane;;
100427043;Glycophos;Ludzki;600 mg;Tabletki musujące;;
100427215;Micafungin Zentiva;Ludzki;600 mg;Tabletki powlekane;;
100430000;Isturisa;Ludzki;600 mg;Tabletki powlekane;;
100430111;Sorafenib Zentiva;Ludzki;600 mg;Tabletki powlekane;;
100434959;Egoropal;Ludzki;600 mg;Tabletki powlekane;;
100438390;Submena;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100440670;Sunitinib MSN;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100443421;Finamef;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100444260;Flumycon;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100446520;Perindopril Teva;Ludzki;600 mg;Tabletki musujące;;
100447703;Cefuroxime Dali Pharma;Ludzki;600 mg;Tabletki powlekane;;
100448789;Heplisav B;Ludzki;600 mg;Tabletki musujące;;
100449850;Netaxen;Ludzki;600 mg;Tabletki powlekane;;
100455173;Concor Cor 7,5;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100456494;Diptivil Duo;Ludzki;600 mg;Tabletki musujące;;
100457919;Pregabalin Reddy;Ludzki;600 mg;Kapsułki miękkie;;
100460516;CitraFleet;Ludzki;600 mg;Tabletki;;
100464675;SimvaHEXAL 20;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100464994;Nootropil 20%;Ludzki;600 mg;Tabletki powlekane;;
100466654;Sapropterin Dipharma;Ludzki;600 mg;Zawiesina do wstrzykiwań o przedłużonym uwalnianiu;;
100469355;Sorbifer Durules;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100470337;Fortrans;Ludzki;600 mg;Tabletki musujące;;
100470390;Ketoprofen Dompé;Ludzki;600 mg;Tabletki powlekane;;
100471248;Sortis 80;Ludzki;600 mg;Zawiesina do wstrzykiwań o przedłużonym uwalnianiu;;
100473799;Dexamethasone Krka;Ludzki;600 mg;Tabletki musujące;;
100476490;Biofenac;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100478840;Dimethyl fumarate Sandoz;Ludzki;600 mg;Kapsułki o przedłużonym uwalnianiu, twarde;;
100480907;Nimotop S;Ludzki;600 mg;Tabletki o przedłużonym uwalnianiu;;
100483934;Delprofex;Ludzki;600 mg;Tabletki powlekane;;
100484904;Xylonaris;Ludzki;600 mg;Tabletki powlekane;;
100486590;Pomalidomide PPH;Ludzki;600 mg;Tabletki musujące;;
100492981;Dagraduo;Ludzki;600 mg;Tabletki powlekane;;
100497212;Prestilol;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100497811;Mounjaro;Ludzki;600 mg;Tabletka;;
100497875;Calcifar;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100500604;Dasatinib Eugia;Ludzki;600 mg;Tabletki powlekane;;
100503442;Ivacaftor Ranbaxy;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100504483;Flucinar;Ludzki;600 mg;Tabletki powlekane;;
100504640;Akantior;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100508903;Lercan;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100511778;Absimky;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100512254;Maxitrol;Ludzki;600 mg;Koncentrat do sporządzania roztworu do infuzji;;
100517565;Lynozyfic;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100526124;Usrenty;Ludzki;600 mg;Tabletki powlekane;;
100528864;Tiorfan;Ludzki;600 mg;Zawiesina do wstrzykiwań o przedłużonym uwalnianiu;;
100532183;Wellbutrin XR;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100532372;Osqay;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
100535550;Kerendia;Ludzki;600 mg;Kapsułka dopochwowa, miękka;;
;;;600 mg;Tabletki powlekane;;
;;;600 mg;Kapsułka dopochwowa, miękka;;
100469232;Sildenafil Dr. Max;Ludzki;600 mg + 1200 mg;Roztwór do wstrzykiwań;;
100497570;Vancomycin Reig Jofre;Ludzki;600 mg + 150 mg;Tabletka;;
100418848;Vicks Sinex Aloes i Eukaliptus;Ludzki;600 mg + 200 mg + 245 mg;Tabletki powlekane;;
100423536;Betaserc;Ludzki;600 mg + 200 mg + 245 mg;Tabletki powlekane;;
100426888;Ambrisentan Viatris;Ludzki;600 mg + 200 mg + 245 mg;Tabletki powlekane;;
100433919;Ipinzan;Ludzki;600 mg + 200 mg + 245 mg;Tabletki powlekane;;
100139083;Trimeductan MR;Ludzki;600 mg + 300 mg;Tabletki powlekane;;
100373181;Viagra Connect Max;Ludzki;600 mg + 300 mg;Tabletki powlekane;;
100400788;Valtricom;Ludzki;600 mg + 300 mg;Tabletki powlekane;;
100323036;Pregabalin Viatris Pharma;Ludzki;600 mg + 40 mg + 10 mg;Proszek do sporządzania roztworu doustnego;;
100296115;Nibix;Ludzki;600 mg + 400 IU;Tabletki powlekane;;
100469257;Candesartan cilexetil + Amlodipine + HCT Sandoz;Ludzki;600 mg + 600 mg;Roztwór do wstrzykiwań;;
100459338;Boxarid;Ludzki;600 mg + 800 j.m.;Tabletki powlekane;;
100428901;Esputicon;Ludzki;600 mg/10 g;Zawiesina dowymieniowa;;
100394898;Pantoprazole Genoptim;Ludzki;600 mg/100 ml;Roztwór do infuzji;;
100436378;Vidisic;Ludzki;600 mg/150 ml;Roztwór do infuzji;;
100520884;ApoMigra;Ludzki;600 mg/24 ml;Roztwór do wstrzykiwań;;
100487819;Diclac 75 Duo;Ludzki;600 mg/3,6 g;Zawiesina dowymieniowa;;
100325868;Envarsus;Ludzki;600 mg/5 ml;Roztwór do wstrzykiwań;;
100463165;Candepres;Ludzki;600 mg/5 ml + 42,9 mg/5 ml;Proszek do sporządzania zawiesiny doustnej;;
100057356;Raphacholin C;Ludzki;600 mg/50 ml;Roztwór do infuzji;;
100485420;Afloderm;Ludzki;6000 j.m;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100101407;Lucetam;Ludzki;6000 j.m. (20000 j.m./ml);Roztwór do wstrzykiwań;;
100408577;Contril;Ludzki;6000 j.m. (60 mg);Roztwór do wstrzykiwań;;
100081923;Ceclor;Ludzki;6000 j.m. (60 mg)/0,6 ml;Roztwór do wstrzykiwań;;
100192433;Volibris;Ludzki;6000 j.m./0,6 ml;Roztwór do wstrzykiwań;;
100192746;Soliris;Ludzki;6000 j.m./0,6 ml;Roztwór do wstrzykiwań;;
100214376;SmofKabiven Peripheral;Ludzki;6000 j.m./0,6 ml;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100344386;Triderm;Ludzki;6000 j.m./0,6 ml;Roztwór do wstrzykiwań;;
100104423;Roztwór Ringera;Ludzki;604,72 mg/ml;Roztwór do wstrzykiwań;;
100458206;Sunitinib Eugia;Ludzki;61 mg;Kapsułki miękkie;;
100422637;Dexketoprofen Adamed;Ludzki;612 mg;Tabletki powlekane;;
100424547;Debridat;Ludzki;612 mg;Tabletki powlekane;;
100427652;Noclaud;Ludzki;62 mcg;Tabletki;;
100476944;Linezolid Kalceks;Ludzki;62,0 mg/ml;Roztwór do stosowania w ulu;;
100112262;Peroxygel 3,0;Ludzki;62,5 mg;Tabletki powlekane;;
100335430;Relanium;Ludzki;62,5 mg;Tabletki powlekane;;
100343429;Sudafed Spray Classic Kids;Ludzki;62,5 mg;Tabletki powlekane;;
100453123;Hydroxychloroquine Adamed;Ludzki;62,5 mg;Tabletka do rozgryzania i żucia;;
100068940;Unasyn;Ludzki;623,4 mg/ml;Roztwór do wstrzykiwań;;
100210243;Olfen Patch;Ludzki;625 IU/ml (125 mcg);Roztwór do wstrzykiwań;;
100205957;Hotlec;Ludzki;625 mg;Tabletki;;
100303306;Pimafucort;Ludzki;625 mg;Tabletki powlekane;;
100389673;Parnido;Ludzki;625 mg;Roztwór do nakrapiania;;
100473651;Fromilid Uno;Ludzki;625 mg;Tabletki;;
100486134;Alcaine;Ludzki;625 mg;Tabletki;;
100486323;Edoflusio;Ludzki;625 mg;Tabletki;;
100463217;Tobrex;Ludzki;625 mg + 73,5 mg + 150 mg;Tabletki do żucia;;
100336955;Levalox;Ludzki;625 mg/ g;Granulat do podania w wodzie do picia;;
100214086;Laxantia Tea;Ludzki;625 mg/g;Granulat do podania w wodzie do picia;;
100426977;Addiphos;Ludzki;625 mg/g;Granulat do podania w wodzie do picia;;
100523060;Erdomed;Ludzki;63 mcg;Tabletki;;
100464447;Lyumjev;Ludzki;63 mg;Tabletki powlekane;;
100083218;Strepsils Junior;Ludzki;634 mg/g;Emulsja do kąpieli;;
100298870;Ceftriaxone Kabi;Ludzki;634 mg/g;Emulsja do kąpieli;;
100301402;Levofloxacin Kabi;Ludzki;634 mg/g;Emulsja do kąpieli;;
100120439;Aknenormin 10 mg;Ludzki;636 mg/ml (300 mg I/ml);Roztwór do wstrzykiwań i infuzji;;
100250366;Ursofalk;Ludzki;64 mcg/dawkę odmierzoną;Aerozol do nosa, zawiesina;;
100389526;Allopurinol Aurovitas;Ludzki;64 mg;Tabletki do rozgryzania i żucia;;
100439112;Fervex;Ludzki;64 mg;Roztwór do wstrzykiwań o przedłużonym uwalnianiu;;
100061814;Solpadeine;Ludzki;64 mg Mg 2+;Tabletki dojelitowe;;
100020353;Dopaminum hydrochloricum WZF 4%;Ludzki;64 mg Mg2+ + 108 mg Ca2+;Tabletki;;
100061429;Skinsept Color;Ludzki;647 mg/5 ml;Syrop;;
100049782;Ortanol Max;Ludzki;647 mg/ml (300 mg jodu/ml);Roztwór do wstrzykiwań;;
100104819;Antinervinum;Ludzki;648 mg/5 ml;Syrop;;
100313990;Puregon;Ludzki;65 mg;Tabletki;;
100501397;Brabela;Ludzki;65 mg;Tabletki;;
100517096;Skinoren;Ludzki;65 mg;Tabletki;;
100526976;Micafungin Polpharma;Ludzki;65 mg;Kapsułki twarde;;
100432860;Amolisa HCT;Ludzki;650 j.m.;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;
100147757;Rasilez;Ludzki;650 mg + 10 mg;Proszek do sporządzania roztworu doustnego;;
100147674;Dilizolen;Ludzki;650 mg + 10 mg + 20 mg;Proszek do sporządzania roztworu doustnego;;
100311375;Leflunomide Zentiva;Ludzki;650 mg + 10 mg + 4 mg;Tabletki powlekane;;
100522068;Decilosal;Ludzki;650 mg + 10 mg + 4 mg;Tabletki powlekane;;
100099060;Zomiren;Ludzki;650 mg + 60 mg + 20 mg + 4 mg;Proszek do sporządzania roztworu doustnego;;
100212667;Tertensif Bi-Kombi;Ludzki;652 mg/ml (320 mg jodu/ml);Roztwór do wstrzykiwań;;
100017285;Decapeptyl Depot;Ludzki;654,5 mg/g;Pasta doustna;;
100089741;Pulmicort;Ludzki;66,66 mg/ml;Krople doustne;;
100076052;Sinecod;Ludzki;667 mg/ml;Syrop;;
100214442;Ropimol;Ludzki;667 mg/ml;Roztwór doustny;;
100246991;Tardyferon-Fol;Ludzki;667 mg/ml;Roztwór doustny;;
100327241;Neosine forte;Ludzki;667 mg/ml;Roztwór doustny;;
100382582;Tobramycyna SUN;Ludzki;667 mg/ml;Syrop;;
100437231;Prestilol;Ludzki;667 mg/ml;Roztwór doustny;;
100452374;Elocom;Ludzki;667,0 mg/ml;Syrop;;
100322752;Bemfola;Ludzki;67 mcg;Tabletki podjęzykowe;;
100294145;Kaldyum;Ludzki;67 mg / 0,67 ml;Roztwór do nakrapiania;;
100460275;Rytmonorm 300;Ludzki;67 mg / 0,67 ml;Roztwór do nakrapiania;;
100468991;QUVIVIQ;Ludzki;67 mg / 0,67 ml;Roztwór do nakrapiania;;
100441847;AYVAKYT;Ludzki;67 mg /pipetkę 0,67 ml;Roztwór do nakrapiania;;
100225983;Fluoksetyna EGIS;Ludzki;67 mg/0,67 ml;Roztwór do nakrapiania;;
100510810;Vyselik;Ludzki;67 mg/0,67 ml;Roztwór do nakrapiania;;
100414030;Sildenafil Synoptis;Ludzki;67 mg/0,67 ml + 20,1 mg/0,67 ml;Roztwór do nakrapiania;;
100093381;Zeffix;Ludzki;67 mg/ml;Roztwór do wstrzykiwań;;
100372276;Uptravi;Ludzki;67 mg/pipetę + 60,3 mg/pipetę;Roztwór do nakrapiania;;
100313032;Plenadren;Ludzki;67 mg/pipetę 0,67 ml;Roztwór do nakrapiania;;
100233439;Flixotide Dysk;Ludzki;67 mg/pipetkę;Roztwór do nakrapiania;;
100333158;Duloxetine Lilly;Ludzki;67 mg/pipetkę 0,67 ml;Roztwór do nakrapiania;;
100368270;Pulmicort;Ludzki;67 mg/pipetkę 0,67 ml;Roztwór do nakrapiania;;
100414684;Treprostinil Tillomed;Ludzki;67 mg/tubę 0,67 ml;Roztwór do nakrapiania;;
100120474;Ostolek;Ludzki;678 mg/ml (320 mg jodu/ml);Roztwór do wstrzykiwań i infuzji;;
100150860;Proktosanol, maść przeciw hemoroidom;Ludzki;68 mg;Implant;;
100386090;Vivotif;Ludzki;68 mg;Tabletki do rozgryzania i żucia;;
100454392;Enspryng;Ludzki;68 mg;Tabletka do rozgryzania i żucia;;
100492147;Elrexfio;Ludzki;68,2 g/ pasek;Pasek do zawieszania w ulu;;
100107829;Neo-Cardiol;Ludzki;680 mg;Tabletki o zmodyfikowanym uwalnianiu;;
100006005;Anticol;Ludzki;680 mg + 80 mg;Tabletki do ssania;;
100114090;Benalapril 20;Ludzki;680 mg + 80 mg;Tabletki do ssania;;
100317780;Simbrinza;Ludzki;680 mg + 80 mg;Tabletki do ssania;;
100405403;Althyxin;Ludzki;680 mg + 80 mg;Tabletki do rozgryzania i żucia;;
100437001;Cavinton Forte;Ludzki;680 mg + 80 mg;Tabletki do ssania;;
100457093;Naraya;Ludzki;680 mg + 80 mg;Tabletki do ssania;;
100487710;Banavin;Ludzki;680 mg + 80 mg;Tabletki do rozgryzania i żucia;;
100489193;Physiotens 0,2;Ludzki;680 mg + 80 mg;Tabletki do rozgryzania i żucia;;
100407715;Meropenem AptaPharma;Ludzki;684 mg;Tabletki powlekane;;
100511589;Alhemo;Ludzki;6880 j.m. + 2,08 mg + 1,68 mg/0,8 ml;Krople do uszu, zawiesina;;
100386663;Bravera Control;Ludzki;697 mg/g;Proszek doustny;;
100350889;Atosiban Accord;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100345820;Explemed;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100345894;Flurhinal;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100346563;Zanacodar Combi;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100346675;Concor 5;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100347479;Akynzeo;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100347717;Tlen medyczny sprężony SIAD;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100347723;Tlen medyczny skroplony SIAD;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100347893;Oftaquix;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348355;Eupirin Cardio;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348361;Bonacard;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348384;Aescin;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348668;Escitalopram Aurovitas;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348674;AuroValsart;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348964;Tardyferon;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348987;Benfogamma Forte;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100348993;Synjardy;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100349350;Pregabalin Viatris;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100349455;Trexan Neo;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100349484;Lidocaine Accord;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100349490;Duloxetine Viatris;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100349515;Duloxetine Viatris;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100350866;Envil gardło;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100350872;Noctis;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100351280;Effortil;Ludzki;;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";;
100110228;Folacid;Ludzki;7 500 j.m. a.Xa/0,3 ml;Roztwór do wstrzykiwań;;
100231788;Clarzole;Ludzki;7 mg;Tabletki powlekane;;
100248725;Oslif Breezhaler;Ludzki;7 mg;Kapsułki twarde;;
100458410;Clatra;Ludzki;7 mg;Tabletki;;
100462892;Tetralysal;Ludzki;7 mg;Kapsułki twarde;;
100469036;Klacid Uno;Ludzki;7 mg;Kapsułki twarde;;
100469198;Candesartan Cilexetil + Amlodipine + Hydrochlorothiazide Adamed;Ludzki;7 mg;Kapsułki twarde;;
100477992;Targocid;Ludzki;7 mg;Tabletki powlekane;;
100497843;Orgametril;Ludzki;7 mg;Kapsułki twarde;;
100523077;Erdomed;Ludzki;7 mg;Kapsułki twarde;;
;;;7 mg;Kapsułki twarde;;
100372201;Uptravi;Ludzki;7 mg + 5 mg;Tabletki;;
100113190;Emoclot;Ludzki;7 mg/24 h (36 mg);System transdermalny;;
100301282;Vellofent;Ludzki;7 mg/ml;Syrop;;
100365537;Ibured Forte;Ludzki;7 mg/ml;Syrop;;
100399281;Lexotan;Ludzki;7 mg/ml;Syrop;;
100441280;Physiotens 0,4;Ludzki;7 mg/ml;Syrop;;
100478388;Daroxomb;Ludzki;7 mg/ml;Roztwór do wstrzykiwań;;
100439164;Hepcludex;Ludzki;7,2 mcg + 5 mcg;Aerozol inhalacyjny, zawiesina;;
100091643;Pritor;Ludzki;7,5 g/15 ml;Syrop;;
100109142;Relpax;Ludzki;7,5 g/15 ml;Syrop;;
100357414;Nucala;Ludzki;7,5 g/15 ml;Syrop;;
100331975;Methylprednisolone Sopharma;Ludzki;7,5 mcg/0,5 ml;Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100535510;Ventolin;Ludzki;7,5 mcg/0,5 ml;Zawiesina do wstrzykiwań w ampułko-strzykawce;;
100000882;Imovane;Ludzki;7,5 mg;Tabletki powlekane;;
100020608;Doxycyclinum TZF;Ludzki;7,5 mg;Tabletki powlekane;;
100078000;Imigran;Ludzki;7,5 mg;Tabletki;;
100100276;Viramune;Ludzki;7,5 mg;Tabletki powlekane;;
100114189;Replagal;Ludzki;7,5 mg;Tabletki;;
100124147;Femoston mite;Ludzki;7,5 mg;Kapsułki twarde;;
100126583;Apidra;Ludzki;7,5 mg;Tabletki powlekane;;
100128932;Somatuline Autogel;Ludzki;7,5 mg;Tabletki powlekane;;
100129966;Roztwór wodny jodu;Ludzki;7,5 mg;Tabletki o przedłużonym działaniu;;
100135234;Beloderm;Ludzki;7,5 mg;Tabletki powlekane;;
100135286;Afloderm;Ludzki;7,5 mg;Tabletki powlekane;;
100137003;Beto 50 ZK;Ludzki;7,5 mg;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań podskórnych;;
100141861;Propranolol Accord;Ludzki;7,5 mg;Tabletki powlekane;;
100147438;Aqua pro injectione Baxter;Ludzki;7,5 mg;Tabletki powlekane;;
100159393;Symglic;Ludzki;7,5 mg;Roztwór do wstrzykiwań we wstrzykiwaczu;;
100162722;Nicorette Freshmint Gum;Ludzki;7,5 mg;Tabletki;;
100180507;Symtrend;Ludzki;7,5 mg;Tabletki powlekane;;
100191793;ApoBetina;Ludzki;7,5 mg;Tabletki;;
100192060;Mirzaten Q-Tab;Ludzki;7,5 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100205199;Nitromint;Ludzki;7,5 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100205549;Myconafine 1%;Ludzki;7,5 mg;Tabletki powlekane;;
100231630;Octanine F 1000;Ludzki;7,5 mg;Tabletki powlekane;;
100232196;Trileptal;Ludzki;7,5 mg;Tabletki powlekane;;
100239519;Bunorfin;Ludzki;7,5 mg;Tabletki;;
100241373;Alopexy;Ludzki;7,5 mg;Tabletki;;
100288156;Potassium Chloride 0,15% + Glucose 5% B. Braun;Ludzki;7,5 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100332897;Tadalafil Mylan;Ludzki;7,5 mg;Tabletki powlekane;;
100338138;Piracetam Espefa;Ludzki;7,5 mg;Tabletki;;
100338345;Tlenek azotu Messer;Ludzki;7,5 mg;Tabletki;;
100343062;Memolek;Ludzki;7,5 mg;Kapsułki twarde;;
100351950;Gopten 4,0;Ludzki;7,5 mg;Tabletki powlekane;;
100365431;Medithyrox;Ludzki;7,5 mg;Tabletki powlekane;;
100368659;Dexmedetomidine EVER Pharma;Ludzki;7,5 mg;Tabletki;;
100375777;Thiopental VUAB;Ludzki;7,5 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100381306;Everolimus Stada;Ludzki;7,5 mg;Tabletka;;
100384990;Rupurix;Ludzki;7,5 mg;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100385942;Falcimar;Ludzki;7,5 mg;Tabletki powlekane;;
100386539;Flectorgo;Ludzki;7,5 mg;Tabletki powlekane;;
100387898;Ongentys;Ludzki;7,5 mg;Tabletki powlekane;;
100388679;Roteas;Ludzki;7,5 mg;Tabletki powlekane;;
100389213;Esomeprazole Genoptim;Ludzki;7,5 mg;Tabletki powlekane;;
100389319;Akistan Duo;Ludzki;7,5 mg;Tabletki powlekane;;
100389822;Xedine HA;Ludzki;7,5 mg;Tabletki powlekane;;
100390179;ApoZolpin;Ludzki;7,5 mg;Tabletki powlekane;;
100391339;Miglustat Accord;Ludzki;7,5 mg;Tabletki;;
100392072;Prohidna;Ludzki;7,5 mg;Tabletki powlekane;;
100392110;Skilarence;Ludzki;7,5 mg;Tabletki;;
100392126;Tenofovir disoproxil Accordpharma;Ludzki;7,5 mg;Krople doustne, roztwór;;
100395001;Finomel Peri;Ludzki;7,5 mg;Tabletki powlekane;;
100397900;Atomoksetyna Medice;Ludzki;7,5 mg;Tabletki powlekane;;
100398689;Auglavin PPH;Ludzki;7,5 mg;Tabletki powlekane;;
100400682;Prevymis;Ludzki;7,5 mg;Tabletki powlekane;;
100408212;Levothyroxine Accord;Ludzki;7,5 mg;Roztwór do wstrzykiwań;;
100409022;Aidee;Ludzki;7,5 mg;Tabletki powlekane;;
100413680;Candifluc;Ludzki;7,5 mg;Roztwór do wstrzykiwań we wstrzykiwaczu;;
100417375;Torvacard 10;Ludzki;7,5 mg;Tabletki powlekane;;
100417990;Agen 10;Ludzki;7,5 mg;Kapsułki twarde;;
100418446;Omeprazol Medreg;Ludzki;7,5 mg;Tabletki powlekane;;
100420213;Tadalafil MENSIL MED;Ludzki;7,5 mg;Tabletki powlekane;;
100423230;Striascan;Ludzki;7,5 mg;Tabletki powlekane;;
100425943;Rivaroxaban Viatris;Ludzki;7,5 mg;Kapsułki twarde;;
100433569;Inhixa;Ludzki;7,5 mg;Kapsułki twarde;;
100433724;Abiraterone Sandoz;Ludzki;7,5 mg;Tabletki powlekane;;
100438800;Karbicombi;Ludzki;7,5 mg;Tabletki powlekane;;
100440227;Apixaban Accord;Ludzki;7,5 mg;Tabletki;;
100441161;Depepsit Met;Ludzki;7,5 mg;Tabletki powlekane;;
100442551;Sitagliptin + Metformin hydrochloride Sandoz;Ludzki;7,5 mg;Tabletki powlekane;;
100443071;Sugammadex Teva;Ludzki;7,5 mg;Tabletki powlekane;;
100443591;Tivicay;Ludzki;7,5 mg;Kapsułki twarde;;
100444863;Aldactone;Ludzki;7,5 mg;Roztwór do wstrzykiwań we wstrzykiwaczu;;
100446299;Aramlessa;Ludzki;7,5 mg;Tabletki;;
100451827;Concor Cor 2,5;Ludzki;7,5 mg;Kapsułki twarde;;
100452062;Hydrocortisone Pharmis;Ludzki;7,5 mg;Tabletki;;
100454847;Telexer;Ludzki;7,5 mg;Kapsułki twarde;;
100455050;Amlodipine + Valsartan + Hydrochlorothiazide Polpharma;Ludzki;7,5 mg;Tabletki powlekane;;
100458851;Coxydyna;Ludzki;7,5 mg;Tabletki powlekane;;
100459762;Cytotec;Ludzki;7,5 mg;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100463231;Izotek 20 mg;Ludzki;7,5 mg;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100467715;Vildagliptin/Metformin hydrochloride Accord;Ludzki;7,5 mg;Roztwór do stosowania w jamie ustnej;;
100467793;Ontilyv;Ludzki;7,5 mg;Kapsułki twarde;;
100468125;Tobrex;Ludzki;7,5 mg;Kapsułki twarde;;
100470572;Diemono;Ludzki;7,5 mg;Kapsułki twarde;;
100471339;Madopar 250 mg;Ludzki;7,5 mg;Tabletki powlekane;;
100471510;Lesiplus;Ludzki;7,5 mg;Kapsułki twarde;;
100474720;Infladrop;Ludzki;7,5 mg;Kapsułki twarde;;
100474803;Cevenfacta;Ludzki;7,5 mg;Kapsułki twarde;;
100475837;Poltraxin;Ludzki;7,5 mg;Kapsułki twarde;;
100476360;Arthrotec;Ludzki;7,5 mg;Tabletki powlekane;;
100478110;Melabiorytm B6 MAX;Ludzki;7,5 mg;Tabletki powlekane;;
100478759;Tolutris;Ludzki;7,5 mg;Kapsułki twarde;;
100481840;Bibloc;Ludzki;7,5 mg;Tabletki powlekane;;
100482508;Abrix;Ludzki;7,5 mg;Tabletki powlekane;;
100483959;Rivaroxaban Polpharma;Ludzki;7,5 mg;Tabletki o przedłużonym uwalnianiu;;
100485991;Icalziss;Ludzki;7,5 mg;Tabletki powlekane;;
100490553;Zelinared;Ludzki;7,5 mg;Tabletki powlekane;;
100502220;Co-Amlessa;Ludzki;7,5 mg;Roztwór do stosowania w jamie ustnej;;
100502654;Pomalidomide Accord;Ludzki;7,5 mg;Tabletki powlekane;;
100507720;Ibuprofen MODAFEN;Ludzki;7,5 mg;Roztwór do wstrzykiwań;;
100521287;Mindetra;Ludzki;7,5 mg;Tabletki;;
100534558;Cinacalcet Devatis;Ludzki;7,5 mg;Tabletki powlekane;;
;;;7,5 mg;Tabletki powlekane;;
;;;7,5 mg;Granulat w kapsułce do otwierania;;
100427913;Neobiotic;Ludzki;7,5 mg + 1000 mg;Tabletki powlekane;;
