Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100200055;Hemorigen;Ludzki;;;;
100200078;Imazol;Ludzki;;;;
100200167;Toramat;Ludzki;;;;
100200180;Imazol plus;Ludzki;;;;
100200227;Toramat;Ludzki;;;;
100200405;Toramat;Ludzki;;;;
100200411;Toramat;Ludzki;;;;
100200598;Neocitec;Ludzki;;;;
100200641;Milukante;Ludzki;;;;
100200658;Milukante;Ludzki;;;;
100200664;Milukante;Ludzki;;;;
100200799;Liść Senesu;Ludzki;;;;
100200865;Polkepral;Ludzki;;;;
100200894;Co-Prestarium;Ludzki;;;;
100200902;Co-Prestarium;Ludzki;;;;
100200925;Co-Prestarium;Ludzki;;;;
100200948;Co-Prestarium;Ludzki;;;;
100200960;Vincristine Teva;Ludzki;;;;
100201037;Uro-Vaxom;Ludzki;;;;
100201132;Ziele Piołunu;Ludzki;;;;
100201221;Promonta 4 mg;Ludzki;;;;
100201238;Promonta 5 mg;Ludzki;;;;
100201280;Asmenol;Ludzki;;;;
100201400;Monkasta;Ludzki;;;;
100201474;Promonta 10 mg;Ludzki;;;;
100201497;Sprycel;Ludzki;;;;
100201505;Retacrit;Ludzki;;;;
100201511;Retacrit;Ludzki;;;;
100201528;Retacrit;Ludzki;;;;
100201540;PoltechMIBI;Ludzki;;;;
100201557;Dysport;Ludzki;;;;
100201563;Alli;Ludzki;;;;
100201570;Czopki glicerolowe;Ludzki;;;;
100201592;Insuman Rapid SoloStar;Ludzki;;;;
100201600;Insuman Basal SoloStar;Ludzki;;;;
100201646;Verospiron;Ludzki;;;;
100201652;Nitrendypina Egis;Ludzki;;;;
100201669;Botox;Ludzki;;;;
100201706;Bisocard;Ludzki;;;;
100201712;Captopril Jelfa;Ludzki;;;;
100201735;Captopril Jelfa;Ludzki;;;;
100201741;Captopril Jelfa;Ludzki;;;;
100201758;Stelara;Ludzki;;;;
100201787;Krople żołądkowe;Ludzki;;;;
100201801;Methadone Hydrochloride Molteni;Ludzki;;;;
100201818;Azarga;Ludzki;;;;
100201824;Nevanac;Ludzki;;;;
100201847;Ultracod;Ludzki;;;;
100201860;Venlafaxine Aurovitas;Ludzki;;;;
100201876;Venlafaxine Aurovitas;Ludzki;;;;
100201882;Venlafaxine Aurovitas;Ludzki;;;;
100201899;Fragmin;Ludzki;;;;
100201907;Segan;Ludzki;;;;
100201988;Prezista;Ludzki;;;;
100201994;Prezista;Ludzki;;;;
100202048;Ibuprofen AFL;Ludzki;;;;
100202166;Iodopol Diagnostic;Ludzki;;;;
100202290;Binocrit;Ludzki;;;;
100202309;Binocrit;Ludzki;;;;
100202605;Scopolan compositum;Ludzki;;;;
100202730;Sylvie 20;Ludzki;;;;
100202752;Sylvie 30;Ludzki;;;;
100202775;Phenytoin Hikma;Ludzki;;;;
100203119;Atarax;Ludzki;;;;
100203220;Stoperan;Ludzki;;;;
100203409;Pulmoterol;Ludzki;;;;
100203438;Luxfen;Ludzki;;;;
100203504;Iporel;Ludzki;;;;
100203585;Synflorix;Ludzki;;;;
100203600;Xifaxan;Ludzki;;;;
100203639;Olej kamforowy Gemi;Ludzki;;;;
100203645;RoActemra;Ludzki;;;;
100203711;Micardis;Ludzki;;;;
100203763;BCG Szczepionka AJVaccines;Ludzki;;;;
100203898;Cazaprol;Ludzki;;;;
100203906;Cazaprol;Ludzki;;;;
100203912;Cazaprol;Ludzki;;;;
100204001;Propofol-Lipuro;Ludzki;;;;
100204018;Beriplex P/N 250;Ludzki;;;;
100204024;Beriplex P/N 500;Ludzki;;;;
100204260;Braunol 7,5%, roztwór na skórę;Ludzki;;;;
100204277;Ziele Dziurawca;Ludzki;;;;
100204308;Aspirin Antigrip Hot;Ludzki;;;;
100204314;Doppelherz Energovital Tonik K;Ludzki;;;;
100204403;Venotrex;Ludzki;;;;
100204550;Tensart;Ludzki;;;;
100204685;Woda utleniona;Ludzki;;;;
100204745;Skinman Soft;Ludzki;;;;
100204774;Solpadeine;Ludzki;;;;
100206023;Pramipexole Teva;Ludzki;;;;
100206129;Perosall C;Ludzki;;;;
100206164;Valdoxan;Ludzki;;;;
100206170;Efient;Ludzki;;;;
100206885;Sora Forte;Ludzki;;;;
100207399;Faxolet ER;Ludzki;;;;
100207420;Faxolet ER;Ludzki;;;;
100207525;Maść ichtiolowa;Ludzki;;;;
100207577;Vicebrol Forte;Ludzki;;;;
100208571;NiQuitin MINI;Ludzki;;Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;;
100209122;Instanyl;Ludzki;;Proszek krystaliczny;;
100215068;Albunorm 5%;Ludzki;;Dwa roztwory do sporządzania roztworu do infuzji;;
100215252;Irinotecan Kabi;Ludzki;;Zawiesina doustna;;
100219497;Propofol-Lipuro;Ludzki;;Dwa roztwory do sporządzania roztworu do infuzji;;
100224877;Asubtela;Ludzki;;Zawiesina do wstrzykiwań;;
100226379;Enbrel;Ludzki;;Emulsja do infuzji;;
100226385;Enbrel;Ludzki;;Emulsja do infuzji;;
100233557;Fentanyl Actavis;Ludzki;;Roztwór do infuzji, preparat złożony;;
